Pflanzenarten,;Habitat:,;Depth to groundwater,;scourge,;"root;";;;;;;;;;
Alnus,;Alpenvorland,;;;;;;;;;;;;
Carex,;Alpenvorland,;;;;;;;;;;;;
Carex;Alpenvorland;;;;;;;;;;;;
Circaea;Alpenvorland;;;;;;;;;;;;
clematis;Alpenvorland;;;;;;;;;;;;
fraxinus;Alpenvorland;;;;;;;;;;;;
Froschbiß;Alpenvorland;;;;;;;;;;;;
Humulus;Alpenvorland;;;;;;;;;;;;
Myricaria;Alpenvorland;;;;;;;;;;;;
Phalaris;Alpenvorland;;;;;;;;;;;;
Phragmites;Alpenvorland;;;;;;;;;;;;
Populus;Alpenvorland;;;;;;;;;;;;
Populus;Alpenvorland;;;;;;;;;;;;
Potamogeto;Alpenvorland;;;;;;;;;;;;
Salix;Alpenvorland;;;;;;;;;;;;
Salix;Alpenvorland;;;;;;;;;;;;
Salix;Alpenvorland;;;;;;;;;;;;
Salix;Alpenvorland;;;;;;;;;;;;
Solanum;Alpenvorland;;;;;;;;;;;;
Sparganium;Alpenvorland;;;;;;;;;;;;
Typha;Alpenvorland;;;;;;;;;;;;
Ufer;Alpenvorland;;;;;;;;;;;;
